,Category,Description,carbs,protein,fat,fiber,calories,goal_tag,diet_type,match_score
2739,beans,"beans, green string, baby food, toddler",-0.7665120073193983,-0.9496329429490148,-1.018327289792664,-0.1713625887496663,-1.3198059930496853,4,1,0.5862349747465818
2740,corn,"corn, creamed, baby food, ns as to strained or junior",-0.3396178422393948,-0.9271176347394126,-0.994244549741076,0.1888185262066824,-1.0192657719892475,4,1,0.5750806590225378
2741,corn,"corn, creamed, baby food, strained",-0.3882513547168635,-0.9271176347394126,-0.994244549741076,0.1888185262066824,-1.051307572457685,4,1,0.5782848390693816
2742,corn,"corn, creamed, baby food, junior",-0.2914346400626433,-0.9271176347394126,-0.994244549741076,0.1888185262066824,-0.9875206548584806,4,1,0.5719061473094611
2743,ham,"ham, for use with vegetables",-0.9524901615156444,0.940527181247073,-0.5137938857118978,-0.756656900553733,-0.6645066709694857,2,0,0.7486783388552714
2744,chicken,"chicken, for use with vegetables",-1.023188878728261,1.931200742469561,-0.2765788962037571,-0.756656900553733,-0.3184997284110101,2,0,0.9726252302100793
2745,lettuce,"lettuce, for use on a sandwich",-0.8916982709188086,-0.9575133008223754,-1.02555211180814,-0.2163852281192099,-1.4083659693443948,4,1,0.5923474921352249
2746,mushrooms,"mushrooms, for use on a sandwich",-0.8763877206944202,-0.7368632803682758,-1.0014693717565524,-0.3064305068582971,-1.3267780514849472,4,1,0.6202040294954075
2747,spinach,"spinach, for use on a sandwich",-0.8597262395678801,-0.7627558848093181,-0.9954486867436552,0.233841165576226,-1.3192867972087616,4,1,0.6403868640493722
2748,almonds,"almonds, chocolate covered",0.4583320106316664,0.8403340597143444,4.237730726466391,3.6555617576615393,2.872700422409657,0,1,0.9138184375900307
2749,almonds,"almonds, sugar-coated",2.050629233968051,0.0410406182734733,1.1166076157806015,0.3689090836848567,1.9808703093714768,1,1,0.8694915682290499
2750,almonds,"almonds, yogurt-covered",0.9969031302895612,0.3506261061555007,3.451429263782047,1.764610904140708,2.66257444850437,1,1,0.569834302645923
2751,fudge,"fudge, chocolate, chocolate-coated",2.196980081701174,-0.6377959242460269,0.9058836403292078,0.233841165576226,1.7815732772911714,1,1,0.8043592243021389
2752,fudge,"fudge, chocolate, chocolate-coated, with nuts",1.927694521872227,-0.481314532189293,1.6247534308691058,0.5039770017934875,2.043915518626504,1,1,0.7331927596800416
2753,fudge,"fudge, chocolate",2.430691127773455,-0.8156668591018826,0.2110965898408974,0.008727968728508,1.5035068190592904,1,1,0.8634293122362456
2754,fudge,"fudge, chocolate, with nuts",2.045675820660161,-0.5916395424163429,1.2370213160385413,0.3689090836848567,1.8776245078620664,1,1,0.7618299337584179
2755,fudge,"fudge, peanut butter",2.007399445099189,-0.3676122257308029,0.9781318604839716,-0.2163852281192099,1.767925843758319,1,1,0.8036976503303417
2756,fudge,"fudge, peanut butter, with nuts",1.752073504592479,-0.2021247103902283,1.7234926650806162,0.0987732474675951,2.05652456047751,1,1,0.735372586199893
2757,fudge,"fudge, vanilla",2.6761102416643854,-0.966519424106216,-0.3861553634384819,-0.756656900553733,1.294345066001434,1,1,0.9237614058747607
2758,fudge,"fudge, vanilla, with nuts",2.336576274923538,-0.7469951690625967,0.6060535266869387,-0.3514531462278407,1.678549988285014,1,1,0.8327596959323771
2759,fudge,"fudge, divinity",2.7107841348196176,-0.6051487273421041,-0.0778962907781571,-0.3514531462278407,1.583314636892714,1,1,0.9708557918935481
2760,fudge,"fudge, brown sugar, penuche",2.477523399048054,-0.8483140560058057,0.1906262607970477,-0.2614078674887535,1.5144099317186892,1,1,0.8691241267454862
2761,fudge,"fudge, caramel and nut, chocolate-coated candy",1.9263435909700752,-0.2178854261369496,1.7271050760883546,0.0987732474675951,2.169190057957965,1,1,0.768817893337842
2762,peanuts,"peanuts, chocolate covered",1.214853315836736,0.3900278955223042,2.9914489287967183,1.3594071498148157,2.5615537720274912,1,1,0.6468732568237268
2763,peanuts,"peanuts, sugar-coated",1.111281946671756,0.6602115940375283,3.0155316688483067,1.089271313597554,2.57787135559938,0,1,1.0
2764,peanuts,"peanuts, yogurt covered",0.8874777272152564,0.5859110769458417,3.414101016702085,0.9542033954889232,2.631793552221033,1,1,0.5863851674600058
2765,coffee,"coffee, ns as to type",-1.023188878728261,-1.0712156072808656,-1.040001755839093,-0.756656900553733,-1.5329729711660969,4,1,0.5572215940086138
2766,coffee,"coffee, ns as to brewed or instant",-1.023188878728261,-1.0712156072808656,-1.040001755839093,-0.756656900553733,-1.5329729711660969,4,1,0.5572215940086138
2767,coffee,"coffee, brewed",-1.023188878728261,-1.0712156072808656,-1.040001755839093,-0.756656900553733,-1.5329729711660969,4,1,0.5572215940086138
